nid	mid	fields
1577659264756	1577652741654	key	text
1577655612965	1577652741654	maNgala	<META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=utf-8"><br><!--filter=deva<br>,filterin=slp1--><br><h1>&nbsp;मङ्गल</h1><br><table class='display'><br><tr><td><span style='background-color:beige'>&nbsp;<span class='sdata'>मङ्गल</span><span class='lnum'> [Cologne record ID=13512]</span><span class='hrefdata'> [Printed book page <a href='../webtc/servepdf.php?page=212' target='_Blank'>212-a3</a>]</span></span><br><br/><span class='sdata'>मङ्गल</span>¦maṅga-la, <i>n.</i> [brightness: √ mañj]  <br/>luck, fortune, happiness, bliss (<i>sts. pl.</i>); prosperity,  <br/> welfare; auspiciousness; good omen,  <br/>whatever conduces to an auspicious issue; benediction,  <br/> blessing; auspicious <i>or</i> lucky object,  <br/>amulet; solemn ceremony, auspicious festivity  <br/>(<i>on important occasions</i>); good old custom;  <br/>good work; <i>a.</i> auspicious, propitious; <i>m. planet</i>  <br/>Mars; <i>N.</i>: <strong>-karaṇa</strong>, <i>n.</i> uttering a prayer <i>for </i> <br/><i>the</i> auspicious <i>issue of an undertaking</i>; <strong>-ka-</strong> <br/><strong>-laśa-maya</strong>, <i>a.</i> consisting of festal jars; <strong>-kār-</strong> <br/><strong>-aka,</strong> <i>a.</i> productive of prosperity, auspicious;  <br/><strong>-kāla,</strong> <i>m.</i> auspicious time; <strong>-kṣauma,</strong> <i>n. du.</i>  <br/>two festal garments (<i>upper and lower</i>) of  <br/>linen; <strong>-gāthikā,</strong> <i>f.</i> solemn chant; <strong>-gīta,</strong> <i>n. </i> <br/><i>id.</i>; <strong>-ghaṭa</strong>, <i>m. N. of an elephant</i>; <strong>-caṇḍ-</strong> <br/><strong>-ikā</strong>, <i>f. a form of</i> Durgā; <strong>-tūrya,</strong> <i>n.</i> musical  <br/>instrument <i>used</i> on festive occasions: <strong>-nisva-</strong> <br/><strong>-na,</strong> <i>m.</i> sound of auspicious musical instruments;  <br/> <strong>-devatā,</strong> <i>f.</i> tutelary deity (<i>only</i>  <br/>-°); <strong>-pattra,</strong> <i>n.</i> leaf <i>used as an</i> amulet;  <br/><strong>-pāṭhaka</strong>, <i>m.</i> pronouncer of benedictions, professional  <br/> panegyrist; <strong>-pātra,</strong> <i>n.</i> auspicious  <br/>pot <i>or</i> vessel (<i>containing propitious objects</i>);  <br/><strong>-pura,</strong> <i>n. N. of a</i> town; <strong>-puṣpa-maya,</strong> <i>a.</i>  <br/>made of auspicious flowers (<i>garland</i>); <strong>-pra-</strong> <br/><strong>-tisara,</strong> <i>m.</i> cord of an amulet; <strong>-prada,</strong> <i>a.</i>  <br/>auspicious; <strong>-maya,</strong> <i>a.</i> (<strong>ī</strong>) consisting of <i>nothing </i> <br/><i> but</i> luck <i>etc.</i>; <strong>-vat-ī,</strong> <i>f. N.</i>; <strong>-vādin,</strong> <i>a.</i>  <br/>pronouncing a blessing; <strong>-vṛṣabha</strong>, <i>m.</i> bull  <br/><i>with</i> auspicious <i>marks</i>; <strong>-śabda</strong>, <i>m.</i> benediction,  <br/> greeting; <strong>-sūcaka</strong>, <i>a.</i> indicative of good  <br/>luck, auspicious.<br></td></tr></table>
1577655612966	1577652741654	AcaraRa	<meta http-equiv="Content-Type" content="text/html; charset=utf-8"><br><!--filter=deva<br>,filterin=slp1--><br><h1>&nbsp;आचरण</h1><br><br><table class="display"><tbody><tr><td><span style="background-color:beige">&nbsp;<span class="sdata">आचरण</span><span class="lnum"> [Cologne record ID=3453]</span><span class="hrefdata"> [Printed book page <a href="../webtc/servepdf.php?page=037" target="_Blank">037-3</a>]</span></span><br><br><span class="sdata">आचरण</span>¦ā-cár-aṇa, <i>n.</i> arrival; performance;  <br>conduct; <strong>-aṇīya</strong>, <i>fp.</i> to be done <i>or</i> performed; <strong>-ita</strong>, <i>(pp.) n.</i> arrival; usage; conduct;  <br> <strong>-itavya,</strong> <i>fp.</i> one should  <br>act according to usage.<br></td></tr></tbody></table>
1577742895130	1577652741654	kfz karzati	P1. draw,pull
1577742895131	1577652741654	krIq krIqati	P1. play
1577742895132	1577652741654	Kan Kanati-Kanate	U1. dig
1577742895133	1577652741654	KAd KAdati	P1. eat
1577742895134	1577652741654	car carati	P1. move
1577742895135	1577652741654	cal calati	P1. move
1577742895136	1577652741654	ji jayati	P1. conquer
