viS viw	m. Vaishya (third caste)	antoine1-16
kakuB kakup	f. direction	antoine1-16
dvAr dvAH	f. door	antoine1-16
tejas tejaH	n. glare,energy	antoine1-16
Siras SiraH	n. head	antoine1-16
tapas tapaH	n. penance	antoine1-16
sadas sadaH	n. residence	antoine1-16
havis haviH	n. oblation	antoine1-16
jyotis jyotiH	n. light	antoine1-16
priya	dear	antoine1-16
gir gIH	f. voice	antoine1-16
pur pUH	f. town	antoine1-16
Dur DUH	f. yoke	antoine1-16
dviz dviw	m. enemy	antoine1-16
Ayus AyuH	n. life	antoine1-16
Danus DanuH	n. bow	antoine1-16
cakzus cakzuH	n. eye	antoine1-16
maDulih maDuliw	m. bee	antoine1-16
upAnah upAnat	f. shoe	antoine1-16
vid vidyate	to happen, to be	antoine1-16
sumanas sumanAH	m. learned man	antoine1-16
uzas uzAH	f. dawn	antoine1-16
tamas tamaH	n. darkness	antoine1-16
sTita	adj standing	antoine1-16
nirguRa	adj worthless,without quality	antoine1-16
sattvam	n being, vigour	antoine1-16
dayA	f compassion	antoine1-16
sam-hf saMharati-saMharate	to withdraw	antoine1-16
kAmaduh kAmaDuk	f. wish-yielding cow	antoine1-16
